Code_Country,Ref_Y,Year,Country,Country1,TyH_Vote,TyH_Seats,Dalton_Vote,Dalton_Seats,Knutsen_Vote,Knutsen_Seats,VDEM_pol,Dalton_OP,election,party_replacement_v,Volat_A_Cohen_2pct,Volat_A_Cohen_5pct,Volat_A_Cohen_7pct,stable_party_v,Volat_B_Cohen_2pct,Volat_B_Cohen_5pct,Volat_B_Cohen_7pct,volatility,Evolat_Cohen_2pct,Evolat_Cohen_5pct,Evolat_Cohen_7pct,Volat_A_Schmidt,Volat_B_Schmidt,Evolat_Schmidt,Enph_Schmidt,gdppc,gdp_growth,inflation,unemployment,gini,PR_system,IDEA_ES_Legislature,IDEA_ES_President,Lib_Dem_Index,Elect_Dem_Index,Legislative size,Dist_Mag_mean
3,0,2001,Brazil,BRA,NA,NA,NA,NA,NA,NA,0.27,5.843,0,0.157,0.138,0.138,0.103,0.097,0.089,0.078,0.067,0.254,0.227,0.215,0.171,12.01,5.56,17.57,7.133,9953.3,0.013,6.84,9.61,58.4,PR,List PR, TRS,0.749,0.87,513,19
3,0,2002,Brazil,BRA,NA,NA,NA,NA,NA,NA,-0.185,5.808,1,0.004,0,0,0,0.147,0.134,0.101,0.088,0.152,0.134,0.101,0.088,11.02,22.81,33.83,7.133,10245.1,1.709,8.45,9.37,58.1,PR,List PR, TRS,0.748,0.869,513,19
3,1,2003,Brazil,BRA,1.193,1.423,2.427,2.651,0.818,0.992,-0.185,5.865,0,0.004,0,0,0,0.147,0.134,0.101,0.088,0.152,0.134,0.101,0.088,11.02,22.81,33.83,8.492,10354.6,-0.123,14.71,9.99,57.6,PR,List PR, TRS,0.749,0.869,513,19
3,0,2004,Brazil,BRA,1.193,1.423,2.427,2.651,0.818,0.992,-0.185,4.56,0,0.004,0,0,0,0.147,0.134,0.101,0.088,0.152,0.134,0.101,0.088,11.02,22.81,33.83,9.446,10949.7,4.497,6.6,9.11,56.5,PR,List PR, TRS,0.749,0.869,513,19
3,0,2005,Brazil,BRA,1.193,1.423,2.427,2.651,0.818,0.992,-0.185,5.136,0,0.004,0,0,0,0.147,0.134,0.101,0.088,0.152,0.134,0.101,0.088,11.02,22.81,33.83,9.446,11305.8,2.026,6.87,9.57,56.3,PR,List PR, TRS,0.789,0.884,513,19
3,0,2006,Brazil,BRA,1.193,1.423,2.427,2.651,0.818,0.992,-0.185,4.55,1,0.089,0.075,0.075,0.075,0.087,0.061,0.044,0.039,0.175,0.135,0.119,0.113,19.93,9.3,29.23,9.237,11766.6,2.835,4.18,8.64,55.6,PR,List PR, TRS,0.788,0.884,513,19
3,1,2007,Brazil,BRA,0.657,1.505,1.801,2.726,0.564,0.946,-0.185,4.387,0,0.089,0.075,0.075,0.075,0.087,0.061,0.044,0.039,0.175,0.135,0.119,0.113,19.93,9.3,29.23,9.317,12500,4.975,3.64,8.33,54.9,PR,List PR, TRS,0.78,0.875,513,19
3,0,2008,Brazil,BRA,0.657,1.505,1.801,2.726,0.564,0.946,-0.185,3.89,0,0.089,0.075,0.075,0.075,0.087,0.061,0.044,0.039,0.175,0.135,0.119,0.113,19.93,9.3,29.23,9.317,13164,4.054,5.68,7.34,54,PR,List PR, TRS,0.78,0.875,513,19
3,0,2009,Brazil,BRA,0.657,1.505,1.801,2.726,0.564,0.946,-0.185,4.347,0,0.089,0.075,0.075,0.075,0.087,0.061,0.044,0.039,0.175,0.135,0.119,0.113,19.93,9.3,29.23,9.317,13180.9,-1.082,4.89,8.52,53.7,PR,List PR, TRS,0.78,0.875,513,19
3,0,2010,Brazil,BRA,0.657,1.505,1.801,2.726,0.564,0.946,0.119,3.535,1,0.159,0.153,0.13,0.13,0.07,0.054,0.034,0.031,0.229,0.207,0.164,0.161,1.8,10.9,12.7,9.317,14215.6,6.524,5.04,NA,NA,PR,List PR, TRS,0.786,0.881,513,19
